tau,ICR,on_chain_volume,write_reduction,anchored_flows,attacks_anchored,attacks_missed,benign_anchored,anchor_precision
0.008144304156303406,0.9925720640490558,0.4281754423758234,0.5718245576241766,1617917,448051,3353,1169866,0.2769307696253887
0.00814430508762598,0.9925011741145404,0.427281732458131,0.5727182675418689,1614540,448019,3385,1166521,0.2774901829623298
0.008144306018948555,0.9914333944759018,0.4116051554121056,0.5883948445878944,1555304,447537,3867,1107767,0.2877488902491089
0.008162911050021648,0.9913625045413864,0.4106847162371769,0.589315283762823,1551826,447505,3899,1104321,0.2883731810138508
0.008228032849729061,0.9913625045413864,0.41068392229884315,0.5893160777011568,1551823,447505,3899,1104318,0.288373738499816
0.008228033781051636,0.9913580739204793,0.4105328093693192,0.5894671906306808,1551252,447503,3901,1103749,0.28847859664322756
0.00822803471237421,0.9904697344285828,0.3973563441362758,0.6026436558637243,1501463,447102,4302,1054361,0.2977775676123887
0.008228340186178684,0.9904697344285828,0.3973063260212495,0.6026936739787505,1501274,447102,4302,1054172,0.29781505574598643
0.008233556523919106,0.9904697344285828,0.39730500279069325,0.6026949972093067,1501269,447102,4302,1054167,0.29781604762371033
0.00823355745524168,0.9903434617327272,0.3957547058709887,0.6042452941290113,1495411,447045,4359,1048366,0.29894457109115824
0.008233558386564255,0.9877161035347494,0.35841261028134264,0.6415873897186574,1354309,445859,5545,908450,0.32921512003538334
0.008707787841558456,0.9875566011820897,0.35641664931029254,0.6435833506897075,1346767,445787,5617,900980,0.33100528896238174
0.008707788772881031,0.9874657734534917,0.35490684324560934,0.6450931567543907,1341062,445746,5658,895316,0.3323828428514118
0.008707789704203606,0.9870049888791416,0.348681043478445,0.651318956521555,1317537,445538,5866,871999,0.33815976325522545
0.008839990943670273,0.9869562520491622,0.3476970892368162,0.6523029107631838,1313819,445516,5888,868303,0.3390999825698974
0.008839991874992847,0.9865730033406882,0.34243513060682557,0.6575648693931744,1293936,445343,6061,848593,0.3441769917522969
0.008839992806315422,0.9846899894551222,0.3179066704316987,0.6820933295683014,1201252,444493,6911,756759,0.3700247741523011
0.0088545773178339,0.9845194105501945,0.3158802751578548,0.6841197248421452,1193595,444416,6988,749179,0.3723339993884023
0.008877914398908615,0.9845194105501945,0.3158786872811873,0.6841213127188127,1193589,444416,6988,749173,0.3723358710577929
0.008886666037142277,0.9845194105501945,0.31587789334285354,0.6841221066571465,1193586,444416,6988,749170,0.37233680689954474
0.008889582939445972,0.9845194105501945,0.3158728650667398,0.6841271349332603,1193567,444416,6988,749151,0.3723427340065535
0.008901250548660755,0.9845194105501945,0.31587260042062854,0.6841273995793715,1193566,444416,6988,749150,0.3723430459647812
0.00890125147998333,0.9845127646188336,0.3157572147161234,0.6842427852838766,1193130,444413,6991,748717,0.372476595174038
0.008987702429294586,0.9844529512365863,0.31490320171511854,0.6850967982848815,1189903,444386,7018,745517,0.37346405547342937
0.00903092697262764,0.9844529512365863,0.31490134919233975,0.6850986508076602,1189896,444386,7018,745510,0.37346625251282467
0.009126022458076477,0.9844529512365863,0.31489976131567227,0.6851002386843277,1189890,444386,7018,745504,0.37346813571002363
0.009126023389399052,0.9843045254361946,0.31284531355403583,0.6871546864459641,1182127,444319,7085,737808,0.37586401461095126
0.009126024320721626,0.9825455689360307,0.29202851508919503,0.707971484910805,1103468,443525,7879,659943,0.4019373466199292
0.009280528873205185,0.9823306838220308,0.2892150622804926,0.7107849377195075,1092837,443428,7976,649409,0.40575858979884466
0.009452201426029205,0.9823306838220308,0.28921479763438135,0.7107852023656187,1092836,443428,7976,649408,0.40575896108839754
0.00945220235735178,0.9823284685115772,0.2892081814816001,0.7107918185183999,1092811,443427,7977,649384,0.40576732847674485
0.009452203288674355,0.9822199182993505,0.28798578109373474,0.7120142189062653,1088192,443378,8026,644814,0.40744464212197845
0.009479646570980549,0.9822177029888969,0.2879781063565085,0.7120218936434914,1088163,443377,8027,644786,0.4074545817124824
0.009492120705544949,0.9822177029888969,0.2879751952492847,0.7120248047507153,1088152,443377,8027,644775,0.4074587006227071
0.009494614787399769,0.9822177029888969,0.2879749306031735,0.7120250693968265,1088151,443377,8027,644774,0.40745907507322054
0.009494615718722343,0.9821933345739072,0.2876970521863606,0.7123029478136393,1087101,443366,8038,643735,0.4078425095736275
0.009494616650044918,0.9799027035648776,0.2582062127791785,0.7417937872208216,975666,442332,9072,533334,0.453364163555971
0.009494953788816929,0.9798805504603415,0.25790742731957683,0.7420925726804232,974537,442322,9082,532215,0.453879124137924
0.009495123289525509,0.9798805504603415,0.2579061040890206,0.7420938959109794,974532,442322,9082,532210,0.4538814528409534
0.009495967999100685,0.9798805504603415,0.25790583944290935,0.7420941605570907,974531,442322,9082,532209,0.4538819185844268
0.009501544758677483,0.9798805504603415,0.2579055747967981,0.7420944252032019,974530,442322,9082,532208,0.45388238432885597
0.009501545690000057,0.9796878184508777,0.25584107048293414,0.7441589295170659,966729,442235,9169,524494,0.45745498479925606
0.009501546621322632,0.9788637229621359,0.24586735248824243,0.7541326475117576,929042,441863,9541,487179,0.4756114362967444
0.009630406275391579,0.9787308043349195,0.2439327894150024,0.7560672105849976,921732,441803,9601,479929,0.47931828340558863
0.009694837033748627,0.9787308043349195,0.24392881972333366,0.7560711802766663,921717,441803,9601,479914,0.47932608381965397
